Date               ,Power
2018-04-20 23:00:53,14
2018-04-20 23:01:03,33
2018-04-20 23:01:25,31
2018-04-20 23:01:44,6
2018-04-20 23:01:46,33
2018-04-20 23:01:50,31
2018-04-20 23:01:52,4
2018-04-20 23:42:05,55
2018-04-20 23:42:07,2
2018-04-20 23:42:08,37
2018-04-20 23:49:15,15
2018-04-21 00:41:12,59
2018-04-21 00:41:13,6
2018-04-21 00:41:14,22
2018-04-21 00:41:15,37
2018-04-21 00:41:16,16
2018-04-21 00:41:17,53
2018-04-21 00:41:18,22
2018-04-21 00:41:18,46
2018-04-21 00:41:19,61
2018-04-21 00:41:20,67
2018-04-21 00:41:21,22
2018-04-21 00:41:22,57
2018-04-21 00:41:22,40
2018-04-21 00:41:23,30
2018-04-21 00:41:24,0
2018-04-21 00:41:24,34
2018-04-21 00:41:25,33
2018-04-21 00:41:26,68
2018-04-21 00:41:27,41
2018-04-21 00:41:31,18
2018-04-21 00:41:31,59
2018-04-21 00:41:32,57
2018-04-21 00:41:32,16
2018-04-21 00:41:33,68
